cycle,set,way,pc_sig,recency,hits,prefetch,dirty,reused,access_type,hit
2129,51,0,0,0,0,0,0,0,4,0
2129,36,0,2871,0,9,0,1,1,3,1
2129,14,0,1064,0,34,0,0,1,0,1
2129,2,0,2875,0,49,0,0,1,0,1
2130,16,1,1064,0,3,0,0,1,0,1
2130,17,1,1089,0,2,0,0,1,0,1
2130,35,0,2875,0,1,0,0,1,3,1
2130,2,0,3153,0,50,0,0,1,0,1
2131,47,0,3153,0,2,0,0,1,3,1
2131,14,0,1064,0,35,0,0,1,0,1
2131,2,0,3385,0,51,0,0,1,0,1
2132,16,1,1064,0,4,0,0,1,0,1
2132,17,1,1089,0,3,0,0,1,0,1
2132,42,1,3385,0,8,0,1,1,0,1
2132,2,0,2941,0,52,0,0,1,0,1
2133,36,0,2941,0,10,0,1,1,0,1
2133,14,0,1064,0,36,0,0,1,0,1
2133,2,0,3258,0,53,0,0,1,0,1
2134,16,1,1064,0,5,0,0,1,0,1
2134,17,1,1089,0,4,0,0,1,0,1
2134,48,0,3258,0,2,0,0,1,3,1
2134,2,0,845,0,54,0,0,1,0,1
2135,36,0,845,0,11,0,1,1,0,1
2135,14,0,1064,0,37,0,0,1,0,1
2135,2,0,3258,0,55,0,0,1,0,1
2136,16,1,1064,0,6,0,0,1,0,1
2136,17,1,1089,0,5,0,0,1,0,1
2136,48,0,3258,0,3,0,1,1,3,1
2136,2,0,871,0,56,0,0,1,0,1
2137,38,0,871,0,1,0,0,1,0,1
2137,14,0,1064,0,38,0,0,1,0,1
2138,16,1,1064,0,7,0,0,1,0,1
2138,17,1,1089,0,6,0,0,1,0,1
2138,2,0,3258,0,57,0,0,1,0,1
2139,48,0,3258,0,4,0,1,1,3,1
2139,14,0,1064,0,39,0,0,1,0,1
2140,16,1,1064,0,8,0,0,1,0,1
2140,17,1,1089,0,7,0,0,1,0,1
2140,2,0,3258,0,58,0,0,1,0,1
2141,48,0,3258,0,5,0,1,1,3,1
2141,14,0,1131,0,40,0,0,1,0,1
2141,2,0,1064,0,59,0,0,1,0,1
2142,17,1,1131,0,8,0,0,1,0,1
2142,37,0,1064,0,8,0,1,1,0,1
2142,14,0,1153,0,41,0,0,1,0,1
2142,2,0,3258,0,60,0,0,1,0,1
2143,48,0,3258,0,6,0,1,1,3,1
2143,14,0,1760,0,42,0,0,1,0,1
2143,2,0,1064,0,61,0,0,1,0,1
2144,27,0,1760,0,2,0,0,1,0,1
2144,37,0,1064,0,9,0,1,1,0,1
2144,14,0,1233,0,43,0,0,1,0,1
2145,14,0,1305,0,44,0,0,1,0,1
2145,2,0,3258,0,62,0,0,1,0,1
2146,48,0,3258,0,7,0,1,1,3,1
2146,37,0,1064,0,10,0,1,1,0,1
2146,14,0,1365,0,45,0,0,1,0,1
2147,14,0,1408,0,46,0,0,1,0,1
2147,2,0,3258,0,63,0,0,1,0,1
2147,1938,0,1153,0,0,0,0,0,0,0
2148,914,0,1153,0,0,0,0,0,0,0
2148,18,1,1153,0,0,0,0,0,0,0
2148,48,0,3258,0,8,0,1,1,3,1
2148,37,0,1064,0,11,0,1,1,0,1
2148,14,0,1376,0,47,0,0,1,0,1
2148,1939,0,1233,0,0,0,0,0,0,0
2149,915,0,1233,0,0,0,0,0,0,0
2149,19,0,1233,0,0,0,0,0,0,0
2149,14,0,1408,0,48,0,0,1,0,1
2149,2,0,1064,0,64,0,0,1,0,1
2149,1940,0,1305,0,0,0,0,0,0,0
2150,916,0,1305,0,0,0,0,0,0,0
2150,20,0,1305,0,0,0,0,0,0,0
2150,37,0,1064,0,12,0,1,1,0,1
2150,2,0,3258,0,65,0,0,1,0,1
2150,1941,0,1365,0,0,0,0,0,0,0
2151,917,0,1365,0,0,0,0,0,0,0
2151,21,0,1376,0,0,0,0,0,0,0
2151,47,0,3258,0,3,0,1,1,3,1
2151,14,0,1376,0,49,0,0,1,0,1
2151,2,0,1064,0,66,0,0,1,0,1
2152,21,0,1376,0,1,0,0,1,0,1
2152,37,0,1064,0,13,0,1,1,0,1
2152,14,0,1408,0,50,0,0,1,0,1
2152,2,0,1064,0,67,0,0,1,0,1
2152,1942,0,1408,0,0,0,0,0,0,0
2153,918,0,1408,0,0,0,0,0,0,0
2153,22,0,1408,0,0,0,0,0,0,0
2153,22,0,1408,0,1,0,0,1,0,1
2153,37,0,1064,0,14,0,1,1,0,1
2154,14,0,1449,0,51,0,0,1,0,1
2154,2,0,3343,0,68,0,0,1,0,1
2155,22,0,1449,0,2,0,0,1,0,1
2155,20,0,1328,0,1,0,0,1,0,1
2155,47,0,3343,0,4,0,1,1,3,1
2155,37,0,1064,0,15,0,1,1,0,1
2156,14,0,1344,0,52,0,0,1,0,1
2156,2,0,3343,0,69,0,0,1,0,1
2157,21,0,1344,0,2,0,0,1,0,1
2157,47,0,3343,0,5,0,1,1,3,1
2157,48,0,1069,0,9,0,1,1,0,1
2157,14,0,1390,0,53,0,0,1,0,1
2158,21,0,1390,0,3,0,0,1,0,1
2158,14,0,1408,0,54,0,0,1,0,1
2158,2,0,3380,0,70,0,0,1,0,1
2159,22,0,1408,0,3,0,0,1,0,1
2159,35,0,3380,0,2,0,1,1,3,1
2159,38,0,1064,0,2,0,0,1,0,1
2159,14,0,1411,0,55,0,0,1,0,1
2160,22,0,1411,0,4,0,0,1,0,1
2160,14,0,1376,0,56,0,0,1,0,1
2160,2,0,1069,0,71,0,0,1,0,1
2161,21,0,1376,0,4,0,0,1,0,1
2161,48,0,1069,0,10,0,1,1,0,1
2161,14,0,1408,0,57,0,0,1,0,1
2162,22,0,1408,0,5,0,0,1,0,1
2162,14,0,1376,0,58,0,0,1,0,1
2163,21,0,1376,0,5,0,0,1,0,1
2163,14,0,1408,0,59,0,0,1,0,1
2164,22,0,1408,0,6,0,0,1,0,1
2164,14,0,1376,0,60,0,0,1,0,1
